;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Biliþim Teknolojileri Meslek Yüksekokulu;;;;;;;;;;;;
110410279;  Arka-Yüz Yazýlým Geliþtirme;2;TYT;30;1;;1;3;320;617404;323.77339;;
110410349;  Arka-Yüz Yazýlým Geliþtirme (KKTC Uyruklu);2;TYT;1;;;;;5, 320;...;----;;
110410286;  Bulut Biliþim Operatörlüðü;2;TYT;30;1;;1;3;320;810238;305.85560;;
110410356;  Bulut Biliþim Operatörlüðü (KKTC Uyruklu);2;TYT;1;;;;;5, 320;...;----;;
110410293;  Büyük Veri Analistliði;2;TYT;30;1;;1;3;320;718022;313.94391;;
110410363;  Büyük Veri Analistliði (KKTC Uyruklu);2;TYT;1;;;;;5, 320;...;----;;
110410370;  Kurumsal Biliþim Uzmanlýðý;2;TYT;30;1;;1;3;320;...;----;;
110410300;  Ön-Yüz Yazýlým Geliþtirme;2;TYT;30;1;;1;3;320;803069;306.45284;;
110410377;  Ön-Yüz Yazýlým Geliþtirme (KKTC Uyruklu);2;TYT;1;;;;;5, 320;...;----;;
110410384;  Yapay Zeka Operatörlüðü;2;TYT;30;1;;1;3;320;...;----;;
110410391;  Yapay Zeka Operatörlüðü (KKTC Uyruklu);2;TYT;1;;;;;5, 320;...;----;;
;ADIYAMAN ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;
;Besni Ali Erdemoðlu Meslek Yüksekokulu;;;;;;;;;;;;
100290102;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;3;;1577232;254.39332;;
100290116;  Bilgisayar Programcýlýðý;2;TYT;40;1;;1;4;;1523034;257.56269;;
100290123;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;35;1;;1;4;;1686122;248.07879;;
100290130;  Ýþletme Yönetimi;2;TYT;30;1;;1;3;;1787449;242.34074;;
100290137;  Mekatronik;2;TYT;30;1;;1;3;;1570298;254.79014;;
100290144;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;3;;1741256;244.94703;;
;Gölbaþý Meslek Yüksekokulu;;;;;;;;;;;;
100290070;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;3;315;1764957;243.60914;;
100250476;  Bilgisayar Programcýlýðý;2;TYT;40;1;;1;4;315;1587959;253.75677;;
100250591;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;30;1;;1;3;315;1673421;248.80729;;
100290056;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;3;315;1473925;260.47298;;
100250422;  Ýþletme Yönetimi;2;TYT;30;1;;1;3;315;1939827;233.90365;;
100250767;  Lojistik;2;TYT;30;1;;1;3;315;1862185;238.18106;;
100250388;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;3;315;1899719;236.09907;;
100250555;  Yerel Yönetimler;2;TYT;30;1;;1;3;315;1904905;235.81419;;
;Kahta Meslek Yüksekokulu;;;;;;;;;;;;
100250713;  Bahçe Tarýmý;2;TYT;30;1;;1;3;;1915628;235.22874;;
100250652;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;3;;1653616;249.94634;;
100250485;  Bilgisayar Programcýlýðý;2;TYT;40;1;;1;4;;1469280;260.75292;;
100250194;  Harita ve Kadastro;2;TYT;30;1;;1;3;;1448392;262.01188;;
100250625;  Laborant ve Veteriner Saðlýk;2;TYT;30;1;;1;3;;1083122;285.37779;;
100250397;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;3;;1820266;240.51226;;
100250228;  Tarla Bitkileri;2;TYT;30;1;;1;3;;1800872;241.58512;;
100250722;  Turizm ve Seyahat Hizmetleri;2;TYT;20;1;;1;2;;1790233;242.18612;;
;Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
100250246;  Çocuk Geliþimi;2;TYT;30;1;;1;3;;793579;307.25637;;
100250749;  Ýlk ve Acil Yardým;2;TYT;30;1;;1;3;;396314;352.56624;;
100250731;  Optisyenlik;2;TYT;30;1;;1;3;;807494;306.08574;;
100250616;  Patoloji Laboratuvar Teknikleri;2;TYT;30;1;;1;3;;664880;318.97433;;
100250607;  Týbbi Laboratuvar Teknikleri;2;TYT;30;1;;1;3;;545896;331.72314;;
;Sosyal Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
100250291;  Aþçýlýk;2;TYT;30;1;;1;3;;1052406;287.51114;;
100250697;  Dýþ Ticaret;2;TYT;30;1;;1;3;;1711752;246.62399;;
100250404;  Ýþletme Yönetimi;2;TYT;30;1;;1;3;;1706294;246.93129;;
100250034;  Kooperatifçilik;2;TYT;30;1;;1;3;;1940384;233.87426;;
100250361;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;3;;1498839;258.99048;;
100250758;  Özel Güvenlik ve Koruma;2;TYT;30;1;;1;3;2;1129992;282.20628;;
100250079;  Pazarlama;2;TYT;30;1;;1;3;;1857939;238.41562;;
100250104;  Turizm ve Otel Ýþletmeciliði;2;TYT;25;1;;1;3;;1641478;250.63979;;
;Teknik Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
100250494;  Bilgisayar Programcýlýðý;2;TYT;40;1;;1;4;;987226;292.14449;;
100250264;  Elektrik;2;TYT;30;1;;1;3;;1102085;284.09728;;
100250273;  Gýda Teknolojisi;2;TYT;30;1;;1;3;;1674961;248.71838;;
100250634;  Giyim Üretim Teknolojisi;2;TYT;30;1;;1;3;;1894869;236.36452;;
100250431;  Ýnþaat Teknolojisi;2;TYT;30;1;;1;3;;1375300;266.47299;;
100250679;  Kimya Teknolojisi;2;TYT;20;1;;1;2;;1709177;246.77040;;
100250519;  Makine;2;TYT;30;1;;1;3;;1463454;261.10286;;
100250043;  Mimari Dekoratif Sanatlar;2;TYT;30;1;;1;3;;1866925;237.92026;;
100250052;  Mobilya ve Dekorasyon;2;TYT;25;1;;1;3;;1859158;238.34811;;
100250352;  Sondaj Teknolojisi;2;TYT;25;1;;1;3;;1655505;249.83632;;
;AFYON KOCATEPE ÜNÝVERSÝTESÝ (AFYONKARAHÝSAR) (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Afyon Meslek Yüksekokulu;;;;;;;;;;;;
100490312;  Alternatif Enerji Kaynaklarý Teknolojisi;2;TYT;40;1;;1;;;...;----;;
100450014;  Aþçýlýk;2;TYT;60;2;;2;;;918256;297.27588;;
